Entity,Year,cum_sum_regions,global_share_land_use_extent,foraging,extensive_agriculture,intensive_agriculture,pastoralism,urban,foraging_onset_date,foraging_decline_date,extensive_agriculture_onset,extensive_agriculture_decline,pastoralism_onset,pastoralism_decline,intensive_agriculture_onset,intensive_agriculture_decline,urban_onset,urban_decline
Afghanistan,-8000,,,Widespread,None,None,None,Absent,,,,,,,,,,
Afghanistan,-6000,,,Widespread,Minimal,None,None,Absent,,,,,,,,,,
Afghanistan,-4000,,,Common,Common,None,Common,Absent,,,,,,,,,,
Afghanistan,-2000,,,Minimal,Common,Minimal,Widespread,Present,,,,,,,,,,
Afghanistan,-1000,,,Minimal,Common,Minimal,Widespread,Absent,,,,,,,,,,
Afghanistan,0,,,Minimal,Common,Common,Widespread,Present,-8000.0,-4000.0,-4000.0,1900.0,-4000.0,1900.0,0.0,1900.0,-2000.0,1900.0
Afghanistan,1000,,,None,Common,Common,Widespread,Present,,,,,,,,,,
Afghanistan,1500,,,None,Common,Common,Widespread,Present,,,,,,,,,,
Afghanistan,1750,,,None,Common,Common,Widespread,Present,,,,,,,,,,
Afghanistan,1850,,,None,Common,Common,Widespread,Present,,,,,,,,,,
Albania,-8000,,,Widespread,None,None,None,Absent,,,,,,,,,,
Albania,-6000,,,Common,Common,None,Common,Absent,,,,,,,,,,
Albania,-4000,,,Common,Common,Minimal,Widespread,Absent,,,,,,,,,,
Albania,-2000,,,Minimal,Common,Common,Widespread,Present,,,,,,,,,,
Albania,-1000,,,Minimal,Common,Widespread,Widespread,Present,,,,,,,,,,
Albania,0,,,Minimal,Widespread,Widespread,Widespread,Present,-8000.0,-4000.0,-6000.0,1900.0,-6000.0,1900.0,-2000.0,1900.0,-2000.0,1900.0
Albania,1000,,,Minimal,Common,Widespread,Widespread,Present,,,,,,,,,,
Albania,1500,,,Minimal,Common,Widespread,Widespread,Present,,,,,,,,,,
Albania,1750,,,Minimal,Common,Widespread,Widespread,Present,,,,,,,,,,
Albania,1850,,,Minimal,Common,Widespread,Widespread,Present,,,,,,,,,,
Algeria,-8000,,,Widespread,None,None,None,Absent,,,,,,,,,,
Algeria,-6000,,,Widespread,None,None,Minimal,Absent,,,,,,,,,,
Algeria,-4000,,,Common,Minimal,None,Common,Absent,,,,,,,,,,
Algeria,-2000,,,Minimal,Minimal,None,Widespread,Absent,,,,,,,,,,
Algeria,-1000,,,None,Common,None,Minimal,Absent,,,,,,,,,,
Algeria,0,,,None,Common,None,Minimal,Split,,,,,,,,,,
Algeria,1000,,,None,Common,None,Minimal,Present,,,,,,,,,,
Algeria,1500,,,None,Common,None,Minimal,Present,,,,,,,,,,
Algeria,1750,,,None,Common,None,Minimal,Split,,,,,,,,,,
Algeria,1850,,,None,Common,None,Minimal,Split,,,,,,,,,,
Angola,-8000,,,Widespread,None,None,None,Absent,,,,,,,,,,
Angola,-6000,,,Widespread,None,None,None,Absent,,,,,,,,,,
Angola,-4000,,,Widespread,None,None,None,Absent,,,,,,,,,,
Angola,-2000,,,Widespread,None,None,None,Absent,,,,,,,,,,
Angola,-1000,,,Widespread,Minimal,None,None,Absent,,,,,,,,,,
Angola,0,,,Widespread,Common,None,Minimal,Absent,-8000.0,1550.0,0.0,1900.0,1000.0,1900.0,1800.0,1900.0,1550.0,1900.0
Angola,1000,,,Widespread,Common,None,Common,Absent,,,,,,,,,,
Angola,1500,,,Common,Widespread,Minimal,Common,Present,,,,,,,,,,
Angola,1750,,,Minimal,Widespread,Common,Common,Present,,,,,,,,,,
Angola,1850,,,Minimal,Widespread,Common,Common,Present,,,,,,,,,,
Antigua and Barbuda,-8000,,,None,None,None,None,Absent,,,,,,,,,,
Antigua and Barbuda,-6000,,,Minimal,None,None,None,Absent,,,,,,,,,,
Antigua and Barbuda,-4000,,,Minimal,None,None,None,Absent,,,,,,,,,,
Antigua and Barbuda,-2000,,,Common,Minimal,None,None,Absent,,,,,,,,,,
Antigua and Barbuda,-1000,,,Common,Minimal,None,None,Absent,,,,,,,,,,
Antigua and Barbuda,0,,,Widespread,Common,None,None,Absent,-2000.0,1900.0,0.0,1900.0,1900.0,1900.0,1800.0,1900.0,1800.0,1900.0
Antigua and Barbuda,1000,,,Widespread,Common,None,None,Absent,,,,,,,,,,
Antigua and Barbuda,1500,,,Widespread,Common,Minimal,None,Absent,,,,,,,,,,
Antigua and Barbuda,1750,,,Common,Common,Widespread,Minimal,Present,,,,,,,,,,
Antigua and Barbuda,1850,,,Common,Common,Widespread,Common,Present,,,,,,,,,,
Armenia,-8000,,,Common,None,None,Minimal,Absent,,,,,,,,,,
Armenia,-6000,,,Common,Common,Minimal,Common,Absent,,,,,,,,,,
Armenia,-4000,,,Common,Common,Minimal,Common,Absent,,,,,,,,,,
Armenia,-2000,,,Common,Common,Common,Common,Present,,,,,,,,,,
Armenia,-1000,,,Common,Widespread,Widespread,Widespread,Present,,,,,,,,,,
Armenia,0,,,Common,Common,Common,Widespread,Present,-8000.0,1000.0,-6000.0,1000.0,-6000.0,1900.0,-2000.0,1900.0,-2000.0,1900.0
Armenia,1000,,,Common,Common,Common,Widespread,Present,,,,,,,,,,
Armenia,1500,,,Minimal,Minimal,Widespread,Widespread,Present,,,,,,,,,,
Armenia,1750,,,Minimal,Minimal,Common,Widespread,Present,,,,,,,,,,
Armenia,1850,,,Minimal,Minimal,Common,Common,Present,,,,,,,,,,
Aruba,-8000,,,None,None,None,None,Absent,,,,,,,,,,
Aruba,-6000,,,Minimal,None,None,None,Absent,,,,,,,,,,
Aruba,-4000,,,Minimal,None,None,None,Absent,,,,,,,,,,
Aruba,-2000,,,Common,Minimal,None,None,Absent,,,,,,,,,,
Aruba,-1000,,,Common,Minimal,None,None,Absent,,,,,,,,,,
Aruba,0,,,Widespread,Common,None,None,Absent,-2000.0,1900.0,0.0,1900.0,1900.0,1900.0,1800.0,1900.0,1800.0,1900.0
Aruba,1000,,,Widespread,Common,None,None,Absent,,,,,,,,,,
Aruba,1500,,,Widespread,Common,Minimal,None,Absent,,,,,,,,,,
Aruba,1750,,,Common,Common,Widespread,Minimal,Present,,,,,,,,,,
Aruba,1850,,,Common,Common,Widespread,Common,Present,,,,,,,,,,
Australia,-8000,,,Widespread,None,None,None,Absent,,,,,,,,,,
Australia,-6000,,,Widespread,None,None,None,Absent,,,,,,,,,,
Australia,-4000,,,Widespread,None,None,None,Absent,,,,,,,,,,
Australia,-2000,,,Widespread,None,None,None,Absent,,,,,,,,,,
Australia,-1000,,,Widespread,None,None,None,Absent,,,,,,,,,,
Australia,0,,,Widespread,None,None,None,Absent,-8000.0,1900.0,1900.0,1900.0,1900.0,1900.0,1900.0,1900.0,1900.0,1900.0
Australia,1000,,,Widespread,None,None,None,Absent,,,,,,,,,,
Australia,1500,,,Widespread,None,None,None,Absent,,,,,,,,,,
Australia,1750,,,Widespread,None,None,None,Absent,,,,,,,,,,
Australia,1850,,,Common,Common,Common,Widespread,Present,,,,,,,,,,
Austria,-8000,,,Widespread,None,None,None,Absent,,,,,,,,,,
Austria,-6000,,,Widespread,None,None,Minimal,Absent,,,,,,,,,,
Austria,-4000,,,Common,Widespread,Common,Common,Absent,,,,,,,,,,
Austria,-2000,,,Minimal,Widespread,Widespread,Widespread,Absent,,,,,,,,,,
Austria,-1000,,,Minimal,Widespread,Widespread,Widespread,Absent,,,,,,,,,,
Austria,0,,,Minimal,Widespread,Widespread,Widespread,Present,-8000.0,-4000.0,-4000.0,1550.0,-4000.0,1900.0,-4000.0,1900.0,0.0,1900.0
Austria,1000,,,Minimal,Widespread,Widespread,Widespread,Present,,,,,,,,,,
Austria,1500,,,Minimal,Widespread,Widespread,Widespread,Present,,,,,,,,,,
Austria,1750,,,Minimal,Minimal,Widespread,Widespread,Present,,,,,,,,,,
Austria,1850,,,Minimal,Minimal,Widespread,Widespread,Present,,,,,,,,,,
Azerbaijan,-8000,,,Common,None,None,Minimal,Absent,,,,,,,,,,
Azerbaijan,-6000,,,Common,Common,Minimal,Common,Absent,,,,,,,,,,
Azerbaijan,-4000,,,Common,Common,Minimal,Common,Absent,,,,,,,,,,
Azerbaijan,-2000,,,Common,Common,Common,Common,Present,,,,,,,,,,
Azerbaijan,-1000,,,Common,Widespread,Widespread,Widespread,Present,,,,,,,,,,
Azerbaijan,0,,,Common,Common,Common,Widespread,Present,-8000.0,1000.0,-6000.0,1000.0,-6000.0,1900.0,-2000.0,1900.0,-2000.0,1900.0
Azerbaijan,1000,,,Common,Common,Common,Widespread,Present,,,,,,,,,,
Azerbaijan,1500,,,Minimal,Minimal,Widespread,Widespread,Present,,,,,,,,,,
Azerbaijan,1750,,,Minimal,Minimal,Common,Widespread,Present,,,,,,,,,,
Azerbaijan,1850,,,Minimal,Minimal,Common,Common,Present,,,,,,,,,,
Bahamas,-8000,,,None,None,None,None,Absent,,,,,,,,,,
Bahamas,-6000,,,Minimal,None,None,None,Absent,,,,,,,,,,
Bahamas,-4000,,,Minimal,None,None,None,Absent,,,,,,,,,,
Bahamas,-2000,,,Common,Minimal,None,None,Absent,,,,,,,,,,
Bahamas,-1000,,,Common,Minimal,None,None,Absent,,,,,,,,,,
Bahamas,0,,,Widespread,Common,None,None,Absent,-2000.0,1900.0,0.0,1900.0,1900.0,1900.0,1800.0,1900.0,1800.0,1900.0
Bahamas,1000,,,Widespread,Common,None,None,Absent,,,,,,,,,,
Bahamas,1500,,,Widespread,Common,Minimal,None,Absent,,,,,,,,,,
Bahamas,1750,,,Common,Common,Widespread,Minimal,Present,,,,,,,,,,
Bahamas,1850,,,Common,Common,Widespread,Common,Present,,,,,,,,,,
Bangladesh,-8000,,,Common,None,None,None,Absent,,,,,,,,,,
Bangladesh,-6000,,,Common,None,None,None,Absent,,,,,,,,,,
Bangladesh,-4000,,,Common,None,None,None,Absent,,,,,,,,,,
Bangladesh,-2000,,,Common,Minimal,None,Minimal,Absent,,,,,,,,,,
Bangladesh,-1000,,,Common,Minimal,Common,Common,Absent,,,,,,,,,,
Bangladesh,0,,,Common,Minimal,Common,Common,Split,,,,,,,,,,
Bangladesh,1000,,,Minimal,Minimal,Common,Common,Present,,,,,,,,,,
Bangladesh,1500,,,Minimal,Minimal,Widespread,Common,Present,,,,,,,,,,
Bangladesh,1750,,,Minimal,Minimal,Widespread,Common,Present,,,,,,,,,,
Bangladesh,1850,,,Minimal,Minimal,Widespread,Common,Present,,,,,,,,,,
Barbados,-8000,,,None,None,None,None,Absent,,,,,,,,,,
Barbados,-6000,,,Minimal,None,None,None,Absent,,,,,,,,,,
Barbados,-4000,,,Minimal,None,None,None,Absent,,,,,,,,,,
Barbados,-2000,,,Common,Minimal,None,None,Absent,,,,,,,,,,
Barbados,-1000,,,Common,Minimal,None,None,Absent,,,,,,,,,,
Barbados,0,,,Widespread,Common,None,None,Absent,-2000.0,1900.0,0.0,1900.0,1900.0,1900.0,1800.0,1900.0,1800.0,1900.0
Barbados,1000,,,Widespread,Common,None,None,Absent,,,,,,,,,,
Barbados,1500,,,Widespread,Common,Minimal,None,Absent,,,,,,,,,,
Barbados,1750,,,Common,Common,Widespread,Minimal,Present,,,,,,,,,,
Barbados,1850,,,Common,Common,Widespread,Common,Present,,,,,,,,,,
Belarus,-8000,,,Widespread,None,None,None,Absent,,,,,,,,,,
Belarus,-6000,,,Widespread,None,None,None,Absent,,,,,,,,,,
Belarus,-4000,,,Widespread,None,None,Minimal,Absent,,,,,,,,,,
Belarus,-2000,,,Common,Common,Minimal,Widespread,Absent,,,,,,,,,,
Belarus,-1000,,,Common,Common,Minimal,Widespread,Absent,,,,,,,,,,
Belarus,0,,,Common,Common,Common,Widespread,Present,-8000.0,1000.0,-2000.0,1900.0,-2000.0,1900.0,0.0,1900.0,0.0,1900.0
Belarus,1000,,,Common,Common,Common,Widespread,Present,,,,,,,,,,
Belarus,1500,,,Minimal,Common,Common,Widespread,Present,,,,,,,,,,
Belarus,1750,,,Minimal,Common,Widespread,Widespread,Present,,,,,,,,,,
Belarus,1850,,,Minimal,Common,Widespread,Widespread,Present,,,,,,,,,,
Belgium,-8000,,,Widespread,None,None,None,Absent,,,,,,,,,,
Belgium,-6000,,,Widespread,None,None,Minimal,Absent,,,,,,,,,,
Belgium,-4000,,,Common,Widespread,Common,Common,Absent,,,,,,,,,,
Belgium,-2000,,,Minimal,Widespread,Widespread,Widespread,Absent,,,,,,,,,,
Belgium,-1000,,,Minimal,Widespread,Widespread,Widespread,Absent,,,,,,,,,,
Belgium,0,,,Minimal,Widespread,Widespread,Widespread,Present,-8000.0,-4000.0,-4000.0,1550.0,-4000.0,1900.0,-4000.0,1900.0,0.0,1900.0
Belgium,1000,,,Minimal,Widespread,Widespread,Widespread,Present,,,,,,,,,,
Belgium,1500,,,Minimal,Widespread,Widespread,Widespread,Present,,,,,,,,,,
Belgium,1750,,,Minimal,Minimal,Widespread,Widespread,Present,,,,,,,,,,
Belgium,1850,,,Minimal,Minimal,Widespread,Widespread,Present,,,,,,,,,,
Benin,-8000,,,Widespread,None,None,None,Absent,,,,,,,,,,
Benin,-6000,,,Widespread,None,None,None,Absent,,,,,,,,,,
Benin,-4000,,,Widespread,None,None,None,Absent,,,,,,,,,,
Benin,-2000,,,Widespread,Minimal,None,None,Absent,,,,,,,,,,
Benin,-1000,,,Widespread,Minimal,None,None,Absent,,,,,,,,,,
Benin,0,,,Widespread,Common,None,Minimal,Present,-8000.0,1900.0,0.0,1000.0,1000.0,1900.0,1000.0,1900.0,0.0,1900.0
Benin,1000,,,Common,Common,Common,Common,Present,,,,,,,,,,
Benin,1500,,,Common,Minimal,Common,Common,Present,,,,,,,,,,
Benin,1750,,,Common,Minimal,Common,Common,Present,,,,,,,,,,
Benin,1850,,,Common,Minimal,Widespread,Common,Present,,,,,,,,,,
Bhutan,-8000,,,Widespread,None,None,None,Absent,,,,,,,,,,
Bhutan,-6000,,,Widespread,None,None,None,Absent,,,,,,,,,,
Bhutan,-4000,,,Widespread,Minimal,None,None,Absent,,,,,,,,,,
