Entity,Year,International Tourist Arrivals
Africa,1950,500000
Africa,1960,800000
Africa,1965,1400000
Africa,1970,2400000
Africa,1975,4700000
Africa,1980,7200000
Africa,1981,8100000
Africa,1982,7600000
Africa,1983,8200000
Africa,1984,8900000
Africa,1985,9700000
Africa,1986,9400000
Africa,1987,9900000
Africa,1988,12600000
Africa,1989,13900000
Africa,1990,15200000
Africa,1991,16300000
Africa,1992,18300000
Africa,1993,18900000
Africa,1994,19300000
Africa,1995,20400000
Africa,1996,22200000
Africa,1997,23200000
Africa,1998,25600000
Africa,1999,27000000
Africa,2000,27900000
Africa,2001,29100000
Africa,2002,30000000
Africa,2003,31600000
Africa,2004,34500000
Africa,2005,37300000
Africa,2006,41400000
Africa,2007,44300000
Africa,2008,44400000
Africa,2009,45900000
Africa,2010,50400000
Africa,2014,55200000
Africa,2015,53800000
Africa,2016,58200000
Africa,2017,63000000
Africa,2018,67000000
Americas,1950,7500000
Americas,1960,16700000
Americas,1965,23200000
Americas,1970,42300000
Americas,1975,50000000
Americas,1980,62300000
Americas,1981,62500000
Americas,1982,59700000
Americas,1983,59900000
Americas,1984,67400000
Americas,1985,65100000
Americas,1986,70900000
Americas,1987,76600000
Americas,1988,83000000
Americas,1989,86900000
Americas,1990,92800000
Americas,1991,95300000
Americas,1992,102200000
Americas,1993,102200000
Americas,1994,105100000
Americas,1995,109000000
Americas,1996,114500000
Americas,1997,116200000
Americas,1998,119100000
Americas,1999,121900000
Americas,2000,128200000
Americas,2001,122100000
Americas,2002,116700000
Americas,2003,113100000
Americas,2004,125700000
Americas,2005,133500000
Americas,2006,135800000
Americas,2007,142500000
Americas,2008,147800000
Americas,2009,141700000
Americas,2010,150100000
Americas,2014,181900000
Americas,2015,192700000
Americas,2016,200900000
Americas,2017,207000000
Americas,2018,217000000
Asia & Pacific,1950,200000
Asia & Pacific,1960,900000
Asia & Pacific,1965,2100000
Asia & Pacific,1970,6200000
Asia & Pacific,1975,10200000
Asia & Pacific,1980,23000000
Asia & Pacific,1981,24900000
Asia & Pacific,1982,26000000
Asia & Pacific,1983,26600000
Asia & Pacific,1984,29500000
Asia & Pacific,1985,32900000
Asia & Pacific,1986,36800000
Asia & Pacific,1987,42100000
Asia & Pacific,1988,48700000
Asia & Pacific,1989,49400000
Asia & Pacific,1990,56200000
Asia & Pacific,1991,58000000
Asia & Pacific,1992,65800000
Asia & Pacific,1993,72300000
Asia & Pacific,1994,80100000
Asia & Pacific,1995,82400000
Asia & Pacific,1996,90400000
Asia & Pacific,1997,89700000
Asia & Pacific,1998,89400000
Asia & Pacific,1999,98700000
Asia & Pacific,2000,110600000
Asia & Pacific,2001,115700000
Asia & Pacific,2002,124900000
Asia & Pacific,2003,113300000
Asia & Pacific,2004,144200000
Asia & Pacific,2005,155400000
Asia & Pacific,2006,166800000
Asia & Pacific,2007,184200000
Asia & Pacific,2008,184100000
Asia & Pacific,2009,181100000
Asia & Pacific,2010,205500000
Asia & Pacific,2014,264400000
Asia & Pacific,2015,279300000
Asia & Pacific,2016,302900000
Asia & Pacific,2017,323000000
Asia & Pacific,2018,343000000
Europe,1950,16800000
Europe,1960,50400000
Europe,1965,83700000
Europe,1970,113000000
Europe,1975,153900000
Europe,1980,178500000
Europe,1981,175500000
Europe,1982,175300000
Europe,1983,179600000
Europe,1984,193400000
Europe,1985,204300000
Europe,1986,206200000
Europe,1987,223900000
Europe,1988,231600000
Europe,1989,250700000
Europe,1990,265600000
Europe,1991,263900000
Europe,1992,282200000
Europe,1993,290800000
Europe,1994,303100000
Europe,1995,315000000
Europe,1996,332100000
Europe,1997,352900000
Europe,1998,364600000
Europe,1999,370500000
Europe,2000,391000000
Europe,2001,395200000
Europe,2002,407000000
Europe,2003,407100000
Europe,2004,424400000
Europe,2005,441500000
Europe,2006,462100000
Europe,2007,484900000
Europe,2008,485200000
Europe,2009,461700000
Europe,2010,489400000
Europe,2014,580200000
Europe,2015,607500000
Europe,2016,619700000
Europe,2017,671000000
Europe,2018,713000000
Middle East,1950,200000
Middle East,1960,600000
Middle East,1965,2400000
Middle East,1970,1900000
Middle East,1975,3500000
Middle East,1980,7100000
Middle East,1981,7600000
Middle East,1982,8300000
Middle East,1983,7500000
Middle East,1984,7700000
Middle East,1985,8100000
Middle East,1986,6900000
Middle East,1987,7200000
Middle East,1988,9100000
Middle East,1989,9200000
Middle East,1990,9600000
Middle East,1991,8900000
Middle East,1992,11300000
Middle East,1993,11400000
Middle East,1994,12100000
Middle East,1995,13700000
Middle East,1996,15800000
Middle East,1997,16700000
Middle East,1998,18000000
Middle East,1999,21500000
Middle East,2000,24400000
Middle East,2001,24500000
Middle East,2002,28500000
Middle East,2003,29500000
Middle East,2004,36300000
Middle East,2005,39000000
Middle East,2006,41400000
Middle East,2007,47400000
Middle East,2008,55200000
Middle East,2009,52800000
Middle East,2010,55400000
Middle East,2014,55400000
Middle East,2015,55900000
Middle East,2016,53600000
Middle East,2017,58000000
Middle East,2018,64000000
